H,L,Lf,V,MV
2.5,5,5,437,75.86805556
2.5,5,7,434,82.88194444
2.5,5,9,377,36.36188272
2.5,5,11,328,25.88383838
2.5,5,13,290,19.36431624
2.5,5,15,259,14.98842593
2.5,5,17,234.2,11.95874183
2.5,7,5,345,42.7827381
2.5,7,7,480,83.33333333
2.5,7,9,473,90.32986111
2.5,7,11,419,46.29103535
2.5,7,13,372.1,34.78498932
2.5,7,15,332.7,26.95486111
2.5,7,17,300.5,21.4818219
2.5,9,5,286,27.58487654
2.5,9,7,397,53.60725309
2.5,9,9,509,88.36805556
2.5,9,11,500,95.48611111
2.5,9,13,451.8,54.30288462
2.5,9,15,406,42.29166667
2.5,9,17,367.2,33.75
2.5,11,5,244,19.25505051
2.5,11,7,340,37.56313131
2.5,11,9,435,61.78977273
2.5,11,11,529,91.84027778
2.5,11,13,520.8,99.45833333
2.5,11,15,476.1,60.61458333
2.5,11,17,432.8,48.61928105
2.5,13,5,212,14.15598291
2.5,13,7,296,27.67094017
2.5,13,9,380,45.67307692
2.5,13,11,463.2,68.04487179
2.5,13,13,544.6,94.54861111
2.5,13,15,536.1,102.3802083
2.5,13,17,495,65.71691176
2.5,15,5,190,10.99537037
2.5,15,7,263,21.30787037
2.5,15,9,337,35.10416667
2.5,15,11,411.1,52.33912037
2.5,15,13,484.3,72.86921296
2.5,15,15,556.5,96.61458333
2.5,15,17,548.4,104.7291667
2.5,17,5,170,8.680555556
2.5,17,7,237,16.94240196
2.5,17,9,304,27.94117647
2.5,17,11,370,41.56454248
2.5,17,13,435.8,57.85743464
2.5,17,15,501.3,76.79227941
2.5,17,17,565.8,98.22916667
3.5,5,5,541,184.0902778
3.5,5,7,568,212.6055556
3.5,5,9,510,96.41203704
3.5,5,11,454,70.2209596
3.5,5,13,407.3,53.30582265
3.5,5,15,369,41.85416667
3.5,5,17,336.8,33.70751634
3.5,7,5,436,105.9722222
3.5,7,7,607,206.5486111
3.5,7,9,622,232.8180556
3.5,7,11,568,122.9949495
3.5,7,13,512.3,93.86693376
3.5,7,15,464.1,73.69736111
3.5,7,17,423.2,59.29640523
3.5,9,5,366,69.18981481
3.5,9,7,511,135.2415123
3.5,9,9,653,222.2013889
3.5,9,11,663,248.1645833
3.5,9,13,611.4,144.0317308
3.5,9,15,557.9,113.9045833
3.5,9,17,509.9,91.85698529
3.5,11,5,315,48.72159091
3.5,11,7,440,95.27777778
3.5,11,9,564,157.0227273
3.5,11,11,686.5,233.6006944
3.5,11,13,692.6,259.2440278
3.5,11,15,645.4,161.0512037
3.5,11,17,594.3,130.8528186
3.5,13,5,277,36.25267094
3.5,13,7,387,70.90865385
3.5,13,9,497,117.0817308
3.5,13,11,605.1,174.2248397
3.5,13,13,712.4,242.4138889
3.5,13,15,716.7,268.2647917
3.5,13,17,672.6,175.0188725
3.5,15,5,247,28.0162037
3.5,15,7,346,54.94351852
3.5,15,9,443,90.44583333
3.5,15,11,541,134.999537
3.5,15,13,637.6,188.032963
3.5,15,15,733,249.4236111
3.5,15,17,735.9,275.4514583
3.5,17,5,224,22.41830065
3.5,17,7,313,43.85580065
3.5,17,9,401,72.23897059
3.5,17,11,489.1,107.6899101
3.5,17,13,576.7,150.0645016
3.5,17,15,663.9,199.3327206
3.5,17,17,749.8,255.1402778
4.5,5,5,626,352.125
4.5,5,7,687,425.08125
4.5,5,9,635,198.4375
4.5,5,11,577,147.5284091
4.5,5,13,524.9,113.5600962
4.5,5,15,480.3,90.05625
4.5,5,17,442.2,73.15808824
4.5,7,5,514,206.5178571
4.5,7,7,714,401.625
4.5,7,9,755,467.15625
4.5,7,11,704,252
4.5,7,13,646.2,195.7240385
4.5,7,15,592.3,155.47875
4.5,7,17,545,126.2316176
4.5,9,5,434,135.625
4.5,9,7,607,265.5625
4.5,9,9,777,437.0625
4.5,9,11,807,499.33125
4.5,9,13,758.7,295.4552885
4.5,9,15,701.7,236.82375
4.5,9,17,647.9,192.9408088
4.5,11,5,377,96.39204545
4.5,11,7,528,189
4.5,11,9,677,311.5738636
4.5,11,11,824.2,463.6125
4.5,11,13,847.9,524.638125
4.5,11,15,802.5,331.03125
4.5,11,17,747.6,272.1044118
4.5,13,5,334,72.25961538
4.5,13,7,468,141.75
4.5,13,9,600,233.6538462
4.5,13,11,731.3,348.0706731
4.5,13,13,861.2,484.425
4.5,13,15,880.7,544.933125
4.5,13,17,838,360.4632353
4.5,15,5,300,56.25
4.5,15,7,419,109.9875
4.5,15,9,539,181.9125
4.5,15,11,657.4,271.1775
4.5,15,13,775.3,377.95875
4.5,15,15,891.3,501.35625
4.5,15,17,907.6,561.5775
4.5,17,5,272,45
4.5,17,7,382,88.47794118
4.5,17,9,489,145.6213235
4.5,17,11,596.8,217.2176471
4.5,17,13,704.2,302.9095588
4.5,17,15,811,402.5183824
4.5,17,17,916,515.25
5.5,5,5,695,583.9930556
5.5,5,7,795,734.8229167
5.5,5,9,750,350.1157407
5.5,5,11,693,264.6875
5.5,5,13,639.4,206.6436966
5.5,5,15,590.9,165.506713
5.5,5,17,548.4,135.5318627
5.5,7,5,577,346.3144841
5.5,7,7,805,676.4236111
5.5,7,9,876,809.6916667
5.5,7,11,831,444.3541667
5.5,7,13,773.1,349.7947115
5.5,7,15,716.4,280.9216667
5.5,7,17,664.8,230.0186275
5.5,9,5,494,230.6095679
5.5,9,7,692,452.2561728
5.5,9,9,884,742.8055556
5.5,9,11,940,868.8472222
5.5,9,13,896.3,521.4052885
5.5,9,15,838.9,422.9454167
5.5,9,17,781.6,347.6970588
5.5,11,5,432,165
5.5,11,7,606,324.0416667
5.5,11,9,777,534.1875
5.5,11,11,946.3,795.1548611
5.5,11,13,989.8,914.8776389
5.5,11,15,949,584.7773148
5.5,11,17,893.2,485.6410131
5.5,13,5,385,124.4257479
5.5,13,7,539,243.8744658
5.5,13,9,693,403.1394231
5.5,13,11,845.9,601.438515
5.5,13,13,994.9,835.9923611
5.5,13,15,1031.3,953.2363194
5.5,13,17,992.5,637.7461193
5.5,15,5,347,97.19212963
5.5,15,7,486,190.575
5.5,15,9,624,314.6
5.5,15,11,763.1,470.2250463
5.5,15,13,900,655.4166667
5.5,15,15,1034.7,869.4354167
5.5,15,17,1066,985.3097222
5.5,17,5,316,78.09640523
5.5,17,7,443,153.2765523
5.5,17,9,569,253.1213235
5.5,17,11,695.2,377.9866013
5.5,17,13,820.5,527.2248775
5.5,17,15,945.3,700.8658088
5.5,17,17,1067.7,897.1645833
6.5,5,5,752,640.7573964
6.5,5,7,896,839.8011834
6.5,5,9,859,406.6272189
6.5,5,11,806,312.1678322
